Item_Number,Condition,TrialType,SentenceType,Sentence,List
1,Speaker_noError,test,deletion,The quarterback passed the ball the receiver.,1
2,Speaker_noError,test,deletion,The patient's condition deteriorated the new medicine.,1
3,Speaker_noError,test,deletion,The actor handed the script the director.,1
4,Speaker_noError,test,deletion,The millionaire profited the tax reduction.,1
5,Speaker_noError,test,deletion,The corrupt politicians profited the bribes.,1
6,Speaker_noError,test,insertion,The earthquake shattered from the house.,1
7,Speaker_noError,test,insertion,The bad lighting deteriorated from the woman's eyesight.,1
8,Speaker_noError,test,insertion,The extra time benefited from the child with a learning disability.,1
9,Speaker_noError,test,insertion,The hot stove melted from the plastic handle.,1
10,Speaker_noError,test,insertion,The daughter passed the mother to the bowl.,1
11,Speaker_noError,test,swap,The watch bought the plumber.,1
12,Speaker_noError,test,swap,The ball kicked the girl.,1
13,Speaker_noError,test,swap,The train boarded the granddaughter.,1
14,Speaker_noError,test,swap,The stamp licked the secretary.,1
15,Speaker_noError,test,swap,The table set the mother.,1
16,Speaker_Error,test,deletion,The uncle sold the truck the father.,1
17,Speaker_Error,test,deletion,The scuba instructor rented the equipment the tourist.,1
18,Speaker_Error,test,deletion,The player benefited the intense practice.,1
19,Speaker_Error,test,deletion,The sculpture shattered the fall.,1
20,Speaker_Error,test,deletion,The janitor lent the mop the teacher.,1
21,Speaker_Error,test,insertion,The construction noise worsened from the man's hearing.,1
22,Speaker_Error,test,insertion,The host tossed the contestant to the microphone.,1
23,Speaker_Error,test,insertion,The long drought deteriorated from the soil.,1
24,Speaker_Error,test,insertion,The judge gave the athlete to the prize.,1
25,Speaker_Error,test,insertion,The chemotherapy shrank from the tumor.,1
26,Speaker_Error,test,swap,The message read the assistant.,1
27,Speaker_Error,test,swap,The bat swung the player.,1
28,Speaker_Error,test,swap,The oven cleaned the grandmother.,1
29,Speaker_Error,test,swap,The saw sharpened the father.,1
30,Speaker_Error,test,swap,The blanket folded the daughter.,1
31,Speaker_noError,exposure,deletion,The dealer shuffled the deck before distributing the cards.,1
32,Speaker_noError,exposure,deletion,The spy monitored a baroness for several months.,1
33,Speaker_noError,exposure,deletion,The terrorist assassinated the newsman in cold blood.,1
34,Speaker_noError,exposure,deletion,The witch was hanged by an executioner promptly at dawn.,1
35,Speaker_noError,exposure,deletion,An analyst angered the economist after he interrupted a phone conference five times.,1
36,Speaker_noError,exposure,deletion,The intern begged a programmer to edit the program because it was due the next day.,1
37,Speaker_noError,exposure,insertion,A legislator lied to the consultant about a new bill.,1
38,Speaker_noError,exposure,insertion,The insurer paid the victim because his car had been destroyed.,1
39,Speaker_noError,exposure,insertion,The pianist met with a beautician to prepare for her recital.,1
40,Speaker_noError,exposure,insertion,The acrobat respected the ballerina because she went to Juilliard.,1
41,Speaker_noError,exposure,insertion,The archivist found a document dating back to the Nixon administration.,1
42,Speaker_noError,exposure,insertion,The sculptor brought a shell from the ocean floor.,1
43,Speaker_noError,exposure,swap,The cameraman was paid to follow a bridesmaid down the aisle with his camera.,1
44,Speaker_noError,exposure,swap,The defendant misled a juryman when she said that she worked for the government.,1
45,Speaker_noError,exposure,swap,The robot killed a scientist before escaping from the laboratory.,1
46,Speaker_noError,exposure,swap,The preacher irritated a parishioner because she was used to shorter sermons.,1
47,Speaker_noError,exposure,swap,The playwright selected the understudy because of his resemblance to the lead actor.,1
48,Speaker_noError,exposure,swap,The professor conducted an inquiry into the status of the file.,1
49,Speaker_noError,exposure,deletion,The spokesman toasted a muffin for the agent after the early morning appointment.,1
50,Speaker_noError,exposure,swap,The advisee opened a file for the visitor with some trepidation.,1
51,Speaker_Error,exposure,deletion,The pirate stole the booty an officer.,1
52,Speaker_Error,exposure,deletion,The supplier described a scenario the class after explaining basic concepts.,1
53,Speaker_Error,exposure,deletion,The trainer filled a bag with ice the injured client.,1
54,Speaker_Error,exposure,deletion,The commissioner wrote a report the chairman.,1
55,Speaker_Error,exposure,deletion,The paramedic helped an invalid the brick building.,1
56,Speaker_Error,exposure,deletion,The rioter stapled the sign a bulletin board in the corridor.,1
57,Speaker_Error,exposure,deletion,The beekeeper selected a honeycomb carefully a hive of swarming bees.,1
58,Speaker_Error,exposure,insertion,The surgeon called for a nurse to from assist him with the operation.,1
59,Speaker_Error,exposure,insertion,A socialite was and greeted by the butler with a plate of caviar.,1
60,Speaker_Error,exposure,insertion,The performer lifted the acrobat onto a her shoulders gracefully.,1
61,Speaker_Error,exposure,insertion,The presenter was criticized by a legislator for because of his speech impediment.,1
62,Speaker_Error,exposure,insertion,A bystander was rescued by the fireman to in the nick of time.,1
63,Speaker_Error,exposure,insertion,The trucker ordered a bartender to bring him onto a beer.,1
64,Speaker_Error,exposure,insertion,The translator found a car for the ambassador because he or could not speak Lebanese.,1
65,Speaker_Error,exposure,swap,The colonel was knighted by the queen loyalty of his because.,1
66,Speaker_Error,exposure,swap,The principal commended a parent for her motivate to ability her child.,1
67,Speaker_Error,exposure,swap,The Vikings raided a search in village of the warrior.,1
68,Speaker_Error,exposure,swap,The toddler hugged a teddybear scared because he was.,1
69,Speaker_Error,exposure,swap,The choreographer found a film starring the musical in the lead.,1
70,Speaker_Error,exposure,swap,The runner filled a bottle with cold water tap.,1
71,Speaker_Error,filler,filler,The woman saved a seat for her husband.,1
72,Speaker_Error,filler,filler,The waitress fixed a sandwich for the customer.,1
73,Speaker_Error,filler,filler,The man ordered some champagne for his girlfriend.,1
74,Speaker_Error,filler,filler,The woman was held by the man.,1
75,Speaker_Error,filler,filler,The journalist was ignored by the politician at the press conference.,1
76,Speaker_Error,filler,filler,The small plant grew into a huge tree.,1
77,Speaker_Error,filler,filler,The man was nudged by the woman.,1
78,Speaker_Error,filler,filler,The grocery store didn't have any more whole wheat bread in stock.,1
79,Speaker_Error,filler,filler,A magnificent diamond sparkled on the prince's finger.,1
80,Speaker_Error,filler,filler,The charity built a house for the hurricane victim.,1
81,Speaker_Error,filler,filler,The church built a shelter for the homeless.,1
82,Speaker_Error,filler,filler,The architect was commissioned by the large company.,1
83,Speaker_Error,filler,filler,The boyfriend obtained some concert tickets for his girlfriend.,1
84,Speaker_Error,filler,filler,The cook baked a cake for Lucy.,1
85,Speaker_Error,filler,filler,The dental technician accepted the job at the new office even though it didn't pay much.,1
86,Speaker_Error,filler,filler,The soccer mom was offended by the journalist because he asked rude questions.,1
87,Speaker_Error,filler,filler,The lab-assistant fetched a test-tube for the scientist.,1
88,Speaker_Error,filler,filler,The sergeant assigned a locker to the private after the meeting.,1
89,Speaker_Error,filler,filler,The jewelry-maker was commissioned by the millionaire.,1
90,Speaker_Error,filler,filler,The apple was placed on the teacher's desk.,1
91,Speaker_Error,filler,filler,The nurse poured some water for the old man.,1
92,Speaker_Error,filler,filler,The bartender poured a drink for the customer.,1
93,Speaker_Error,filler,filler,The moose's head was mounted on the wall.,1
94,Speaker_Error,filler,filler,The mobile was hanging from the ceiling.,1
95,Speaker_Error,filler,filler,The coach encouraged the team to score in the last quarter.,1
96,Speaker_Error,filler,filler,An old woman lives in the woods.,1
97,Speaker_Error,filler,filler,The submarine captain accepted the mission.,1
98,Speaker_Error,filler,filler,A ghost appeared above the bed.,1
99,Speaker_Error,filler,filler,The student spent all night studying and aced the test.,1
100,Speaker_Error,filler,filler,The chef cleaned the ladle before he stirred the soup.,1
101,Speaker_Error,filler,filler,The helicopter hovered over the water.,1
102,Speaker_noError,filler,filler,Some of the woman's cats were scared of dogs but most of them weren't.,1
103,Speaker_noError,filler,filler,The first-graders liked their teacher because she used games to teach them how to read.,1
104,Speaker_noError,filler,filler,The grandmother made a quilt for her granddaughter.,1
105,Speaker_noError,filler,filler,The travel agent reserved a flight for the businessman.,1
106,Speaker_noError,filler,filler,A cat jumped onto the table.,1
107,Speaker_noError,filler,filler,The apprentice fetched a hammer for the carpenter.,1
108,Speaker_noError,filler,filler,The painting hung on the bedroom wall.,1
109,Speaker_noError,filler,filler,Some treasure was found in the cave.,1
110,Speaker_noError,filler,filler,The name was engraved on the ring.,1
111,Speaker_noError,filler,filler,The cheerleader was treated by a doctor who had been watching the game.,1
112,Speaker_noError,filler,filler,The baby crawled into the hallway.,1
113,Speaker_noError,filler,filler,The train arrived at the station.,1
114,Speaker_noError,filler,filler,The seamstress made a dress for her client.,1
115,Speaker_noError,filler,filler,The father bought a bicycle for his son.,1
116,Speaker_noError,filler,filler,The hiker was rescued by a ranger who had been on patrol.,1
117,Speaker_noError,filler,filler,The ballet instructor encouraged her students to practice more.,1
118,Speaker_noError,filler,filler,The lawyer was insulted by the judge.,1
119,Speaker_noError,filler,filler,A flowering plant is on the window sill.,1
120,Speaker_noError,filler,filler,The secretary ordered some office supplies for the boss.,1
121,Speaker_noError,filler,filler,The runner trained for months before the marathon.,1
