Item_Number,Condition,TrialType,SentenceType,Sentence,List
1,Speaker_noError,test,deletion,The uncle sold the truck the father.,8
2,Speaker_noError,test,deletion,The scuba instructor rented the equipment the tourist.,8
3,Speaker_noError,test,deletion,The player benefited the intense practice.,8
4,Speaker_noError,test,deletion,The sculpture shattered the fall.,8
5,Speaker_noError,test,deletion,The janitor lent the mop the teacher.,8
6,Speaker_noError,test,insertion,The construction noise worsened from the man's hearing.,8
7,Speaker_noError,test,insertion,The host tossed the contestant to the microphone.,8
8,Speaker_noError,test,insertion,The long drought deteriorated from the soil.,8
9,Speaker_noError,test,insertion,The judge gave the athlete to the prize.,8
10,Speaker_noError,test,insertion,The chemotherapy shrank from the tumor.,8
11,Speaker_noError,test,swap,The message read the assistant.,8
12,Speaker_noError,test,swap,The bat swung the player.,8
13,Speaker_noError,test,swap,The oven cleaned the grandmother.,8
14,Speaker_noError,test,swap,The saw sharpened the father.,8
15,Speaker_noError,test,swap,The blanket folded the daughter.,8
16,Speaker_Error,test,deletion,The quarterback passed the ball the receiver.,8
17,Speaker_Error,test,deletion,The patient's condition deteriorated the new medicine.,8
18,Speaker_Error,test,deletion,The actor handed the script the director.,8
19,Speaker_Error,test,deletion,The millionaire profited the tax reduction.,8
20,Speaker_Error,test,deletion,The corrupt politicians profited the bribes.,8
21,Speaker_Error,test,insertion,The earthquake shattered from the house.,8
22,Speaker_Error,test,insertion,The bad lighting deteriorated from the woman's eyesight.,8
23,Speaker_Error,test,insertion,The extra time benefited from the child with a learning disability.,8
24,Speaker_Error,test,insertion,The hot stove melted from the plastic handle.,8
25,Speaker_Error,test,insertion,The daughter passed the mother to the bowl.,8
26,Speaker_Error,test,swap,The watch bought the plumber.,8
27,Speaker_Error,test,swap,The ball kicked the girl.,8
28,Speaker_Error,test,swap,The train boarded the granddaughter.,8
29,Speaker_Error,test,swap,The stamp licked the secretary.,8
30,Speaker_Error,test,swap,The table set the mother.,8
31,Speaker_noError,exposure,deletion,The pirate stole the booty from an officer.,8
32,Speaker_noError,exposure,deletion,The supplier described a scenario for the class after explaining basic concepts.,8
33,Speaker_noError,exposure,deletion,The trainer filled a bag with ice for the injured client.,8
34,Speaker_noError,exposure,deletion,The commissioner wrote a report for the chairman.,8
35,Speaker_noError,exposure,deletion,The paramedic helped an invalid into the brick building.,8
36,Speaker_noError,exposure,deletion,The rioter stapled the sign to a bulletin board in the corridor.,8
